1918-55291;Lena Simpson;1906-06-27;BS;IT;87;
1952-43022;Rosie Hicks;1916-03-24;BS;IT;138;
1962-02625;Irene Park;1921-02-29;BS;CS;29;
1954-57927;Lura Strickland;1947-02-08;MS;CS;122;
2001-09503;Lucille Burns;1930-12-09;BS;CS;72;
1941-57132;David Morton;1902-05-19;MS;IT;9;
1911-39357;Cora Green;1953-03-27;MS;CS;131;
1922-44874;Eleanor Johnson;1931-05-10;MS;IT;116;
1988-88137;Cynthia Aguilar;1999-02-03;MS;IT;26;
1920-04275;Jonathan Blair;1904-04-24;BS;IT;52;
1967-09712;Eric Baldwin;1988-04-28;MS;CS;63;
2011-65214;Julian Bowman;1922-05-16;MS;CS;121;
1933-39042;Juan Patton;1953-09-05;MS;IT;37;
1931-59780;Benjamin Cox;1954-09-05;BS;IT;115;
1996-97703;Ina Bradley;1923-12-09;BS;CS;40;
1992-73851;Ryan Wright;1920-03-29;BS;CS;134;
1983-22492;Mamie Atkins;1910-11-19;BS;CS;89;
1926-84411;Charlie Howell;1961-03-28;BS;IT;17;
1955-05844;Fannie Bass;1999-03-03;BS;CS;143;
1953-32316;Dale Rice;1996-10-15;MS;IT;61;
1959-79452;Jerome Sullivan;1918-01-30;MS;IT;83;
1956-26498;Herman Collier;1921-01-03;BS;IT;113;
1958-51634;Danny Davidson;1949-08-06;BS;CS;118;
1927-64585;Lewis Wright;1924-06-27;MS;IT;77;
1900-01905;Rose Stevens;1946-06-16;BS;CS;115;
1987-86911;Winnie Butler;1985-11-06;MS;CS;144;
1951-50148;Ricardo Baker;2000-11-22;MS;CS;128;
1913-32947;James Mitchell;1973-08-28;MS;CS;147;
1974-30968;Lizzie Parker;1905-12-14;MS;CS;51;
1915-32700;Alexander Wells;1979-01-25;BS;IT;115;
2006-49748;Bradley Fernandez;1969-07-28;MS;IT;75;
1979-70025;Herbert Gonzales;1904-04-29;BS;IT;2;
1959-08778;Carlos Martinez;1980-03-01;BS;IT;145;
1919-60808;Chase Clarke;1929-05-31;BS;CS;66;
1930-61149;Luis Hogan;1980-09-14;MS;CS;51;
2013-10955;Dylan Lawrence;1924-06-27;BS;CS;61;
1963-82893;Vera Gutierrez;1958-04-24;BS;IT;11;
1949-75903;Lura Howell;1949-07-01;BS;IT;14;
1920-48421;Dominic Bowen;1934-01-22;BS;IT;134;
1917-49620;Linnie Bryant;1934-01-27;MS;CS;103;
1991-05501;Dale Clark;1946-11-16;BS;IT;39;
1978-38109;Madge Gonzalez;1918-02-07;BS;CS;35;
1900-54838;Ada Hopkins;1956-08-06;MS;CS;22;
2008-17053;May Cruz;1962-02-31;MS;IT;17;
1959-11134;Elmer Steele;1900-06-01;BS;CS;81;
1903-62840;Joel Harrington;1985-09-07;MS;CS;6;
1913-03416;Sean Lyons;1915-09-29;MS;CS;141;
2014-29121;Addie Dennis;1963-08-22;BS;CS;88;
1941-53877;Hulda Sanchez;1970-09-06;MS;IT;129;
2002-80127;Alice Romero;1980-06-23;BS;IT;110;
1941-65441;Gilbert Reynolds;1925-07-22;MS;CS;112;
1919-51470;Milton Blake;1996-09-20;BS;CS;62;
1947-83589;Viola Neal;1912-12-24;MS;CS;73;
1964-54629;Johnny Rodriquez;1911-04-08;BS;IT;119;
1929-36569;Lee Floyd;1919-05-18;BS;IT;2;
1900-17625;Billy McLaughlin;1965-12-25;MS;CS;78;
1965-85484;Raymond Singleton;1948-12-11;MS;IT;59;
1987-33318;Cordelia Fowler;1975-08-15;MS;IT;32;
1937-76088;Barry Houston;1968-09-10;MS;CS;30;
2010-74911;Gertrude Parsons;1928-02-01;BS;CS;60;
1990-26081;Leonard McBride;1926-04-06;MS;IT;84;
1962-24663;Ray Weaver;1990-07-18;MS;IT;89;
1936-53499;Stanley Cunningham;1932-06-12;MS;IT;13;
2015-25300;Julian Crawford;1976-03-23;MS;CS;67;
1986-19399;Francisco Gross;1959-12-02;BS;IT;131;
1914-61533;Sara Gibson;1901-10-16;BS;IT;144;
2006-98713;Frances Stewart;1980-02-31;BS;CS;63;
1971-26326;Helen Moran;1937-08-09;BS;CS;90;
2001-87894;Steven Graham;1949-07-30;BS;IT;73;
1999-09466;Gerald Lewis;1941-04-31;MS;IT;32;
1937-12189;Helena Thornton;1940-02-21;BS;IT;24;
1938-34711;Ray Ellis;1972-08-14;MS;IT;54;
2014-50502;Mary Owens;1948-03-17;MS;IT;47;
1946-09330;Teresa Holland;1900-05-04;BS;CS;99;
2001-80728;Clayton Powers;1942-02-08;BS;CS;1;
1961-21562;Scott Miles;1953-03-25;BS;IT;85;
1994-99757;Philip Todd;1937-06-29;BS;CS;93;
1932-59569;Virgie Lucas;1981-08-02;BS;CS;60;
1910-64102;Lillian Potter;1945-09-31;MS;CS;5;
1943-47365;Lida Kelley;1947-11-27;MS;IT;57;
1901-76410;Duane Fields;1978-08-14;MS;IT;39;
1906-00056;Pauline Burton;1917-09-19;BS;IT;101;
1995-45094;Johnny Montgomery;1934-10-01;BS;IT;99;
2012-38083;Clyde Daniel;1977-05-09;BS;CS;128;
1988-59022;Catherine Casey;1933-08-20;BS;CS;49;
1922-04505;Johanna Nichols;1930-09-16;BS;CS;93;
1907-88528;Nell Manning;1945-01-23;MS;CS;79;
1913-12498;Leila Gomez;1994-07-28;MS;CS;25;
1983-27748;Tony Copeland;1982-04-23;BS;CS;64;
1909-85565;Patrick Burke;1956-09-16;MS;IT;13;
1959-88616;Rose Hawkins;1911-01-21;MS;IT;139;
1982-14962;Carrie Harvey;1925-01-02;MS;CS;92;
1993-44858;Floyd Hill;1952-06-12;BS;IT;26;
1962-64133;Susie Copeland;1962-06-30;BS;IT;7;
